,IDfg,Name,Team,G,PA,OPS,Dol,Spd,Off,WAR,wRC+,Def,BsR
259,10243,Randal Grichuk,TOR,149,545,0.703,$3.5,2.3,-14.7,0.4,85,0.6,-4.9
238,14350,Raimel Tapia,COL,133,533,0.699,$3.4,5.5,-12.5,0.4,76,-0.9,3.7
217,17766,D.J. Stewart,BAL,100,318,0.698,$3.1,1.5,-0.7,0.4,94,-6.1,1.7
272,14773,Yu Chang,CLE,89,251,0.693,$3.5,5.4,-3.2,0.4,85,-0.9,1.5
196,17278,Bobby Bradley,CLE,74,279,0.739,$2.5,1.6,-2.5,0.3,99,-3.8,-2.0
179,19892,Pavin Smith,ARI,145,545,0.732,$2.5,3.6,-5.2,0.3,96,-9.7,-2.4
212,15905,Luis Torrens,SEA,108,378,0.73,$2.1,2.3,-0.6,0.3,101,-9.5,-1.2
228,20325,Alex Kirilloff,MIN,59,231,0.722,$2.0,3.0,-2.1,0.3,93,-3.2,-0.2
229,26197,Andrew Vaughn,CHW,127,469,0.705,$2.4,2.2,-7.0,0.3,94,-5.9,-3.6
236,5222,Justin Upton,LAA,89,362,0.705,$2.7,3.5,-2.7,0.3,92,-6.2,0.9
264,15487,Victor Reyes,DET,76,220,0.701,$2.1,7.1,-1.6,0.3,88,-3.2,1.7
240,13419,Christian Walker,ARI,115,445,0.696,$2.4,2.3,-6.4,0.3,87,-5.2,1.1
326,19348,DJ Peters,- - -,70,240,0.663,$2.1,4.9,-7.9,0.3,71,2.4,0.5
311,15654,Billy McKinney,- - -,116,300,0.638,$2.5,5.2,-9.9,0.3,73,3.1,0.2
308,16417,Sergio Alcantara,CHC,89,255,0.63,$2.4,6.2,-8.7,0.3,71,3.2,0.7
317,4940,Jason Heyward,CHC,104,353,0.627,$2.2,4.9,-12.4,0.3,68,3.4,1.8
324,17992,David Fletcher,LAA,157,665,0.622,$2.7,5.2,-20.8,0.3,70,1.6,3.3
350,17696,Kevin Newman,PIT,148,554,0.574,$2.7,4.5,-27.4,0.3,54,12.4,5.1
170,19334,Yadiel Hernandez,WSN,112,289,0.742,$1.6,4.1,-2.5,0.2,98,-5.1,-1.7
184,17484,Eloy Jimenez,CHW,55,231,0.74,$1.9,0.9,-1.2,0.2,101,-4.2,-1.6
187,8418,Ehire Adrianza,ATL,109,209,0.728,$2.0,4.0,-1.3,0.2,94,-3.2,0.2
202,12649,Alex Dickerson,SFG,111,312,0.725,$1.3,3.8,-1.6,0.2,97,-7.1,-0.5
232,12858,Brian Goodwin,CHW,72,271,0.693,$1.3,3.7,-1.9,0.2,94,-5.7,0.2
249,27459,Yoshi Tsutsugo,- - -,81,262,0.689,$1.3,2.5,-3.7,0.2,90,-3.4,-0.6
257,21501,Trevor Larnach,MIN,79,301,0.672,$1.5,2.3,-5.3,0.2,89,-3.0,-1.4
305,12037,Jon Berti,MIA,85,271,0.624,$2.0,5.5,-4.6,0.2,79,-1.9,2.8
328,18042,Dylan Moore,SEA,126,377,0.61,$1.6,6.6,-10.4,0.2,74,-0.4,1.6
344,6887,Martin Maldonado,HOU,125,426,0.573,$1.6,2.0,-24.4,0.2,63,11.9,-5.0
182,17423,Yermin Mercedes,CHW,68,262,0.732,$0.7,2.1,-0.7,0.1,102,-7.4,-1.2
155,14130,Daniel Vogelbach,MIL,93,258,0.73,$0.7,1.1,-3.9,0.1,101,-3.8,-4.1
244,15482,Aristides Aquino,CIN,84,204,0.707,$0.5,4.2,-4.4,0.1,83,-1.6,0.0
266,10953,Phil Gosselin,LAA,104,373,0.676,$0.9,3.0,-4.9,0.1,87,-6.6,1.2
304,16337,Nick Gordon,MIN,73,216,0.647,$1.0,5.9,-5.4,0.1,77,-0.7,0.6
334,5000,Stephen Vogt,- - -,78,238,0.616,$1.0,2.3,-10.5,0.1,64,3.8,0.3
358,12976,Austin Hedges,CLE,88,312,0.527,$0.4,3.1,-23.3,0.1,40,13.2,-0.2
174,3516,Eric Hosmer,SDP,151,565,0.732,$0.0,2.3,-3.8,0.0,102,-14.9,-5.5
246,14387,Harold Ramirez,CLE,99,361,0.703,$0.4,3.3,-3.1,0.0,90,-8.7,1.2
267,4962,Asdrubal Cabrera,- - -,110,352,0.678,$0.4,2.2,-9.9,0.0,82,-1.2,-1.9
297,12092,Niko Goodrum,DET,90,325,0.651,$0.4,6.5,-8.0,0.0,79,-2.6,0.3
315,6012,Didi Gregorius,PHI,103,408,0.639,$0.3,3.9,-14.8,0.0,68,1.8,1.5
336,12147,Nick Ahmed,ARI,129,473,0.619,$0.1,5.0,-21.1,0.0,64,5.5,0.6
262,14523,Pedro Severino,BAL,113,419,0.69,($0.9),0.6,-10.8,-0.1,87,-4.6,-3.9
265,19252,Cavan Biggio,TOR,79,294,0.678,($1.1),3.7,-7.1,-0.1,84,-4.2,-1.3
312,17932,Andrew Stevenson,WSN,109,213,0.632,($0.8),2.5,-7.7,-0.1,69,-0.3,0.7
347,19346,Eli White,TEX,64,220,0.567,($0.8),5.2,-11.0,-0.1,58,2.5,0.2
160,14221,Jorge Soler,- - -,149,602,0.749,($1.3),1.4,-6.0,-0.2,101,-15.8,-6.8
181,16909,Colin Moran,PIT,99,359,0.724,($2.0),1.5,-6.1,-0.2,98,-8.3,-5.3
233,15679,Rowdy Tellez,- - -,106,325,0.719,($1.7),2.5,-4.8,-0.2,89,-8.2,-0.3
245,1177,Albert Pujols,- - -,109,296,0.717,($1.5),2.4,-6.0,-0.2,90,-5.7,-2.4
260,3086,Mitch Moreland,OAK,81,252,0.701,($1.8),2.4,-4.1,-0.2,93,-6.6,-1.9
254,19627,Brent Rooker,MIN,58,213,0.688,($1.3),1.8,-1.8,-0.2,89,-7.0,1.0
281,20391,Luis Garcia,WSN,70,247,0.686,($1.6),4.0,-7.1,-0.2,79,-3.0,-0.5
277,15117,Hunter Dozier,KCR,144,543,0.68,($1.2),5.1,-13.3,-0.2,82,-6.7,-1.4
293,11982,Travis Shaw,- - -,84,250,0.659,($1.6),0.7,-7.7,-0.2,78,-2.6,-0.6
299,21618,Alec Bohm,PHI,115,417,0.647,($1.7),3.6,-15.7,-0.2,75,-0.2,-2.5
316,14352,Lewis Brinson,MIA,89,290,0.639,($1.4),1.8,-10.4,-0.2,74,-0.9,-0.7
355,17023,Magneuris Sierra,MIA,123,225,0.549,($1.4),7.1,-10.1,-0.2,51,0.9,4.0
273,2396,Carlos Santana,KCR,158,659,0.66,($2.2),2.1,-14.6,-0.3,83,-10.5,-0.8
302,10324,Marcell Ozuna,ATL,48,208,0.645,($2.2),1.2,-8.3,-0.3,73,-1.3,-1.3
319,5384,Juan Lagares,LAA,112,327,0.638,($2.3),4.1,-12.5,-0.3,71,-1.4,-0.9
339,12179,Maikel Franco,BAL,104,403,0.609,($2.7),0.9,-20.0,-0.3,62,3.0,-1.2
329,11205,Adam Eaton,- - -,84,288,0.608,($2.5),6.2,-9.5,-0.3,70,-3.4,1.2
341,16885,Joshua Fuentes,COL,95,284,0.608,($2.5),2.4,-16.7,-0.3,48,4.2,2.2
337,8090,Matt Carpenter,STL,130,249,0.581,($2.7),3.8,-9.2,-0.3,70,-2.3,0.4
343,9345,Brock Holt,TEX,77,260,0.579,($2.2),4.5,-13.6,-0.3,62,2.0,-1.6
303,4892,Mike Moustakas,CIN,62,206,0.653,($3.4),1.4,-8.2,-0.4,70,-2.9,-0.4
306,8259,Kurt Suzuki,LAA,72,247,0.636,($3.1),0.8,-9.1,-0.4,76,-3.1,-1.9
330,17338,Willi Castro,DET,125,450,0.624,($2.9),6.9,-15.1,-0.4,69,-3.8,2.0
286,15653,Dominic Smith,NYM,145,493,0.667,($4.1),2.1,-12.7,-0.5,86,-8.6,-4.0
296,15170,Josh VanMeter,ARI,112,310,0.651,($4.3),4.0,-11.2,-0.5,75,-4.4,-1.5
309,12950,Phillip Evans,PIT,76,247,0.611,($4.1),2.4,-8.6,-0.5,73,-4.7,0.0
321,18363,Victor Robles,WSN,107,369,0.605,($4.3),4.7,-18.7,-0.5,67,1.2,-3.4
349,10847,Andrelton Simmons,MIN,131,451,0.558,($3.8),2.1,-25.5,-0.5,56,5.5,-1.5
247,18839,Josh Naylor,CLE,69,250,0.7,($4.4),2.7,-4.4,-0.6,90,-9.6,-1.4
251,17838,Willie Calhoun,TEX,75,284,0.691,($4.4),3.3,-7.2,-0.6,91,-8.0,-4.0
331,17468,Kelvin Gutierrez,- - -,85,295,0.608,($4.6),3.1,-14.1,-0.6,67,-1.7,-2.2
338,14593,David Bote,CHC,97,327,0.606,($4.8),3.0,-18.1,-0.6,64,1.2,-3.1
359,5273,Sandy Leon,MIA,84,220,0.505,($5.1),1.0,-18.0,-0.6,42,4.4,-1.6
237,1744,Miguel Cabrera,DET,130,526,0.701,($5.3),0.9,-11.4,-0.7,92,-13.0,-6.3
256,19181,Zack Collins,CHW,78,231,0.669,($5.5),2.2,-3.9,-0.7,90,-10.8,-1.1
276,10815,Jurickson Profar,SDP,137,412,0.649,($5.9),4.9,-9.6,-0.7,85,-11.3,-1.9
318,16442,Ryan O'Hearn,KCR,84,254,0.636,($5.9),2.1,-11.5,-0.7,70,-4.4,-2.1
323,14968,Victor Caratini,SDP,116,356,0.632,($5.3),2.6,-17.4,-0.7,72,-0.9,-4.9
313,19958,Carter Kieboom,WSN,62,249,0.619,($5.5),1.5,-11.9,-0.7,68,-3.2,-1.9
332,22558,Jarred Kelenic,SEA,93,377,0.615,($5.5),4.3,-11.0,-0.7,73,-8.7,1.3
342,5497,Marwin Gonzalez,- - -,91,307,0.579,($5.4),3.3,-17.8,-0.7,58,0.7,-2.0
348,17922,Isan Diaz,MIA,89,277,0.575,($5.5),2.0,-14.0,-0.7,60,-2.0,0.3
345,15194,Jake Bauers,- - -,115,315,0.566,($5.4),3.7,-14.0,-0.7,63,-3.4,0.4
353,13369,Erik Gonzalez,PIT,71,229,0.558,($5.7),3.1,-16.4,-0.7,50,1.6,-1.9
325,15608,Willians Astudillo,MIN,73,216,0.634,($6.8),0.9,-11.4,-0.8,70,-4.4,-3.5
351,13744,David Dahl,TEX,63,220,0.569,($6.1),3.1,-13.1,-0.8,54,-2.0,-0.7
357,15998,Cody Bellinger,LAD,95,350,0.542,($6.3),5.0,-21.2,-0.8,48,1.8,2.1
361,12984,Jackie Bradley Jr.,MIL,134,428,0.497,($6.4),6.0,-33.1,-0.8,35,10.9,2.1
290,15983,Clint Frazier,NYY,66,218,0.633,($7.2),3.0,-7.1,-0.9,83,-9.3,-2.4
360,12977,Michael Perez,PIT,70,231,0.511,($6.9),2.8,-18.7,-0.9,38,2.5,-0.5
356,14885,Pat Valaika,BAL,91,281,0.54,($7.7),1.5,-19.9,-1.0,46,0.8,-1.2
354,24655,Owen Miller,CLE,60,202,0.551,($8.8),3.5,-15.0,-1.1,49,-2.8,-2.3
314,12907,Gregory Polanco,PIT,107,382,0.637,($9.3),6.0,-12.3,-1.2,71,-11.9,1.9
352,11936,Joe Panik,- - -,95,257,0.55,($9.4),2.7,-17.8,-1.2,51,-2.4,-2.0
