IDfg,Name,Team,G,PA,AVG,OBP,SLG,OPS,wRC+,WAR,Barrel%,HardHit%,GB%,FB%,HR/FB
13265,Mike Zunino,TBR,109,375,0.216,0.301,0.559,0.86,134,4.5,24.3,46.5,30.2,54.0,0.303
17232,Yoan Moncada,CHW,144,616,0.263,0.375,0.412,0.787,122,4.5,8.2,40.5,43.8,29.600000000000005,0.13
11493,Manny Machado,SDP,153,640,0.278,0.347,0.489,0.836,122,4.4,13.3,52.0,39.0,40.7,0.146
18036,Jake Cronenworth,SDP,152,643,0.266,0.34,0.46,0.8,116,4.4,7.200000000000001,34.6,42.2,36.1,0.121
11739,J.T. Realmuto,PHI,134,537,0.263,0.343,0.439,0.782,108,4.4,8.6,44.7,46.4,33.2,0.147
19339,Nicky Lopez,KCR,151,565,0.3,0.365,0.378,0.744,106,4.4,0.7,26.5,55.3,23.3,0.021
15172,Tim Anderson,CHW,123,551,0.309,0.338,0.469,0.806,120,4.3,7.8,41.8,55.3,22.0,0.18899999999999997
14161,Byron Buxton,MIN,61,254,0.306,0.358,0.647,1.005,169,4.2,17.9,53.2,40.1,38.4,0.28800000000000003
18401,Ronald Acuna Jr.,ATL,82,360,0.283,0.394,0.596,0.99,157,4.2,20.3,53.900000000000006,31.3,45.6,0.242
11737,Nick Castellanos,CIN,138,585,0.309,0.362,0.576,0.939,140,4.2,10.6,46.9,37.5,35.8,0.228
18360,Austin Riley,ATL,160,662,0.303,0.367,0.531,0.898,135,4.2,13.3,45.6,38.1,36.7,0.209
16556,Ozzie Albies,ATL,156,686,0.259,0.31,0.488,0.799,107,4.2,9.3,36.8,31.4,48.5,0.122
15986,Willy Adames,- - -,140,555,0.262,0.337,0.481,0.818,119,4.1,11.4,44.7,36.5,40.6,0.18
5235,Justin Turner,LAD,151,612,0.278,0.361,0.471,0.832,127,4.0,7.9,42.2,34.9,43.8,0.14
9777,Nolan Arenado,STL,157,653,0.255,0.312,0.494,0.807,113,4.0,6.7,37.1,31.3,49.8,0.135
13066,Teoscar Hernandez,TOR,143,595,0.296,0.346,0.524,0.87,132,3.9,13.900000000000002,48.8,38.4,36.1,0.21899999999999997
13611,Mookie Betts,LAD,122,550,0.264,0.367,0.487,0.854,131,3.9,7.8,41.3,35.1,43.4,0.138
21523,Jonathan India,CIN,150,631,0.269,0.376,0.459,0.835,122,3.9,9.6,38.1,44.1,33.4,0.159
13152,Jorge Polanco,MIN,152,644,0.269,0.323,0.503,0.826,122,3.9,10.1,36.8,32.1,44.8,0.158
10472,Enrique Hernandez,BOS,134,585,0.25,0.337,0.449,0.786,110,3.9,8.4,43.2,32.6,46.2,0.107
11368,Yasmani Grandal,CHW,93,375,0.24,0.42,0.52,0.939,159,3.7,13.3,53.2,40.8,40.3,0.284
13624,Corey Seager,LAD,95,409,0.306,0.394,0.521,0.915,147,3.7,12.4,49.0,45.9,33.4,0.165
19556,Yordan Alvarez,HOU,144,598,0.277,0.346,0.531,0.877,138,3.7,15.9,54.2,37.8,39.1,0.214
17620,Myles Straw,- - -,158,638,0.271,0.349,0.348,0.696,98,3.7,1.3,25.900000000000002,40.6,33.6,0.027000000000000003
4314,Joey Votto,CIN,129,533,0.266,0.375,0.563,0.938,140,3.6,17.2,53.2,31.7,41.8,0.265
15429,Kris Bryant,- - -,144,586,0.265,0.353,0.481,0.835,123,3.6,10.3,39.7,37.4,39.2,0.168
12979,Javier Baez,- - -,138,547,0.265,0.319,0.494,0.813,116,3.6,13.4,45.0,47.0,34.5,0.282
12927,Brandon Nimmo,NYM,92,386,0.292,0.401,0.437,0.838,137,3.5,3.6000000000000005,41.1,47.3,30.2,0.10800000000000001
17982,Ty France,SEA,152,650,0.291,0.368,0.445,0.813,129,3.5,6.800000000000001,38.9,45.6,31.4,0.122
14128,Joey Gallo,- - -,153,616,0.199,0.351,0.458,0.808,123,3.5,18.5,45.5,32.6,50.7,0.271
12564,Trevor Story,COL,142,595,0.251,0.329,0.471,0.801,100,3.5,9.9,42.6,37.0,44.1,0.139
7304,Salvador Perez,KCR,161,665,0.273,0.316,0.544,0.859,127,3.4,16.3,55.89999999999999,37.2,40.1,0.264
19198,Yuli Gurriel,HOU,143,605,0.319,0.383,0.462,0.846,134,3.4,3.4000000000000004,41.4,40.9,38.8,0.08199999999999999
18030,Harrison Bader,STL,103,401,0.267,0.324,0.46,0.785,110,3.4,7.000000000000001,31.7,43.0,41.2,0.13699999999999998
15223,Adam Frazier,- - -,155,639,0.305,0.368,0.411,0.779,114,3.4,1.0,25.0,41.0,29.600000000000005,0.033
16505,Matt Chapman,OAK,151,622,0.21,0.314,0.403,0.716,101,3.4,13.699999999999998,41.7,33.6,51.800000000000004,0.155
10264,Brandon Belt,SFG,97,381,0.274,0.378,0.597,0.975,158,3.3,17.0,44.8,27.3,50.0,0.26899999999999996
19290,Randy Arozarena,TBR,141,604,0.274,0.356,0.459,0.815,128,3.3,8.2,42.0,49.0,33.1,0.16699999999999998
19352,Sean Murphy,OAK,119,448,0.216,0.306,0.405,0.71,99,3.3,11.3,42.2,39.4,40.8,0.14800000000000002
13590,Jesse Winker,CIN,110,485,0.305,0.394,0.556,0.949,148,3.2,11.2,46.8,42.0,33.3,0.207
20043,Luis Robert,CHW,68,296,0.338,0.378,0.567,0.946,157,3.2,12.5,44.4,36.6,37.0,0.163
13621,Jeimer Candelario,DET,149,626,0.271,0.351,0.443,0.795,119,3.2,9.0,39.1,39.4,34.2,0.111
18314,Dansby Swanson,ATL,160,653,0.248,0.311,0.449,0.76,98,3.2,11.4,42.4,39.8,40.3,0.157
11281,Whit Merrifield,KCR,162,720,0.277,0.317,0.395,0.711,91,3.2,3.5000000000000004,28.6,40.7,35.0,0.05
16478,Kyle Schwarber,- - -,113,471,0.266,0.374,0.554,0.928,145,3.1,17.5,52.2,38.3,40.9,0.28600000000000003
13757,Chris Taylor,LAD,148,582,0.254,0.344,0.438,0.782,113,3.1,10.2,38.1,36.3,41.6,0.142
15491,J.P. Crawford,SEA,160,687,0.273,0.338,0.376,0.715,103,3.1,2.4,30.4,45.6,30.8,0.057999999999999996
9256,A.J. Pollock,LAD,117,422,0.297,0.355,0.536,0.892,137,3.0,11.1,47.1,39.9,38.6,0.17800000000000002
19251,Pete Alonso,NYM,152,637,0.262,0.344,0.519,0.863,133,3.0,14.800000000000002,47.3,38.8,42.9,0.19699999999999998
6153,Eduardo Escobar,- - -,146,599,0.253,0.314,0.472,0.786,107,3.0,8.9,34.0,31.5,47.1,0.14
13613,Ketel Marte,ARI,90,374,0.318,0.377,0.532,0.909,139,2.9,8.9,48.4,45.5,32.3,0.156
6184,J.D. Martinez,BOS,148,634,0.286,0.349,0.518,0.867,128,2.9,12.4,49.3,34.4,41.9,0.157
15676,Jose Abreu,CHW,152,659,0.261,0.351,0.481,0.831,126,2.9,10.2,49.0,46.4,34.9,0.19899999999999998
5760,Avisail Garcia,MIL,135,515,0.262,0.33,0.49,0.82,115,2.9,12.2,46.1,47.2,32.2,0.261
12532,Kolten Wong,MIL,116,492,0.272,0.335,0.447,0.783,109,2.9,5.5,34.8,42.2,35.5,0.11
10059,Max Stassi,LAA,87,319,0.241,0.326,0.426,0.752,107,2.9,11.0,42.3,44.0,33.0,0.217
19287,Adolis Garcia,TEX,149,622,0.243,0.286,0.454,0.741,100,2.9,11.5,45.3,43.3,40.5,0.196
18607,Jared Walsh,LAA,144,585,0.277,0.34,0.509,0.85,127,2.8,11.3,41.2,48.3,29.9,0.254
14274,Mitch Haniger,SEA,157,691,0.253,0.318,0.485,0.804,120,2.8,12.6,44.7,43.4,40.5,0.21
20126,Dylan Carlson,STL,149,619,0.266,0.343,0.437,0.78,113,2.8,7.000000000000001,30.599999999999998,37.8,37.6,0.122
13338,Omar Narvaez,MIL,123,445,0.266,0.342,0.402,0.743,99,2.8,5.1,25.6,33.2,40.9,0.086
7802,Miguel Rojas,MIA,132,539,0.265,0.322,0.392,0.713,97,2.8,2.8,32.9,45.1,34.0,0.063
14894,Tony Kemp,OAK,131,397,0.279,0.382,0.418,0.8,127,2.7,1.0,21.2,35.0,41.9,0.069
16622,Luis Urias,MIL,150,570,0.249,0.345,0.445,0.789,111,2.7,9.2,39.6,41.4,37.9,0.161
5254,Robbie Grossman,DET,156,671,0.239,0.357,0.415,0.772,114,2.7,7.6,33.9,29.5,46.2,0.122
12916,Francisco Lindor,NYM,125,524,0.23,0.322,0.412,0.734,103,2.7,8.2,44.1,39.4,42.0,0.134
15518,Amed Rosario,CLE,141,588,0.282,0.321,0.409,0.731,99,2.7,2.8,43.1,51.4,28.1,0.09
4949,Giancarlo Stanton,NYY,139,579,0.273,0.354,0.516,0.87,137,2.6,15.7,55.60000000000001,44.7,36.8,0.267
11445,Mark Canha,OAK,141,625,0.231,0.358,0.387,0.746,115,2.6,7.1,35.4,41.2,35.9,0.121
13853,Joey Wendle,TBR,136,501,0.265,0.319,0.422,0.741,106,2.6,4.3,34.9,49.4,29.9,0.106
13723,Jacob Stallings,PIT,112,427,0.246,0.335,0.369,0.704,95,2.6,4.5,35.7,44.1,32.8,0.084
9929,Darin Ruf,SFG,117,312,0.271,0.385,0.519,0.904,144,2.5,14.2,54.50000000000001,42.6,31.3,0.29100000000000004
23667,Wander Franco,TBR,70,308,0.288,0.347,0.463,0.81,127,2.5,4.9,37.6,45.3,34.3,0.083
5933,Jean Segura,PHI,131,567,0.29,0.348,0.436,0.784,109,2.5,5.9,37.4,52.1,28.800000000000004,0.111
15112,Ryan McMahon,COL,151,596,0.254,0.331,0.449,0.779,95,2.5,7.3,43.3,38.5,37.5,0.16
9785,Kyle Seager,SEA,159,670,0.212,0.285,0.438,0.723,99,2.5,12.3,40.1,32.1,50.6,0.156
11038,Kevin Kiermaier,TBR,122,390,0.259,0.328,0.388,0.716,101,2.5,4.0,36.4,57.10000000000001,25.0,0.063
12856,George Springer,TOR,78,342,0.264,0.352,0.555,0.907,140,2.4,15.299999999999999,41.4,32.6,46.6,0.214
10950,Adam Duvall,- - -,146,555,0.228,0.281,0.491,0.772,103,2.4,16.1,43.9,29.799999999999997,52.900000000000006,0.21
19363,Austin Hays,BAL,131,529,0.256,0.308,0.461,0.769,106,2.4,9.1,39.0,43.2,38.5,0.15
9874,DJ LeMahieu,NYY,150,679,0.268,0.349,0.362,0.711,100,2.4,3.7000000000000006,43.1,52.0,25.6,0.077
12546,C.J. Cron,COL,142,547,0.281,0.375,0.53,0.905,127,2.3,11.5,42.0,38.9,42.0,0.187
16472,Rhys Hoskins,PHI,107,443,0.247,0.334,0.53,0.864,127,2.3,17.0,46.3,29.299999999999997,50.9,0.188
13602,Patrick Wisdom,CHC,106,375,0.231,0.305,0.518,0.823,115,2.3,16.1,51.1,31.4,49.2,0.308
19470,Tommy Edman,STL,159,691,0.262,0.308,0.387,0.695,91,2.3,4.3,35.3,46.0,32.2,0.063
16512,Isiah Kiner-Falefa,TEX,158,677,0.271,0.312,0.357,0.67,85,2.3,1.8000000000000003,28.6,53.7,26.1,0.055999999999999994
5038,Josh Donaldson,MIN,135,543,0.247,0.352,0.475,0.827,124,2.2,17.4,52.7,43.0,39.9,0.18600000000000003
